CASEID,CRASHYEAR,PSU,CASENO,CASENUMBER,CATEGORY,CRASHMONTH,DAYOFWEEK,CRASHTIME,EVENTS,VEHICLES,CAIS,CISS,CINJURED,CINJSEV,CTREAT,ALCINV,DRGINV,MANCOLL,SUMMARY,PANDEMIC,CASEWGT,PSUSTRAT,VERSION
17925,2020,10,88,1-10-2020-088-09,9,6,1,10:56,1,2,9,97,1,0,9,9,9,4,"V1 was traveling west in lane one of a two-lane, two-way roadway entering a light controlled four-legged intersection. V2 was traveling south in lane one of a three-lane, non-divided roadway entering the same intersection as V1. In the intersection, the front f V2 contacted the right side of V1. V2 rotated clockwise and came to final rest facing southwest in the intersection. V1 rotated clockwise and came to final rest facing west in the intersection.",0,773.712375515695,4,5
18189,2020,16,73,1-16-2020-073-08,8,6,6,15:40,2,2,9,0,1,0,8,2,2,5,V1 and V2 were traveling north on a four lane interstate.  V1 entered a clockwise yaw on the roadway.  The front of V1 impacted with the right of V2.  V1 then transitioned to a counterclockwise yaw.  The right side of V1 impacted the left side of V2.  Both vehicles came to final rest on the roadway.,0,112.637679506153,5,5
18190,2020,73,50,1-73-2020-050-04,4,6,1,10:56,1,2,0,0,0,0,0,9,9,9,"V1 was traveling east on a two way, two lane, undivided roadway. V2 was traveling east on the same roadway following V1. V1 pulled off the right road edge to make an U-turn. The left plane of V1 contacted the frontal plane of V2. V1 came to final rest off the roadway. V2 crossed the left lane line and continued off the northern road edge. V2 came to final rest off the roadway.",0,139.723895564568,3,5
18214,2020,52,106,1-52-2020-106-02,2,6,7,07:40,2,2,2,5,7,0,3,2,2,4,"Vehicle 1 was traveling east bound on a two lane non-physically divided roadway, attempting to crossover an intersection. Vehicle 2 was traveling southbound on a two lane non-physically divided roadway, attempting to crossover the same intersection. The front of Vehicle 1 made contact with the right side of Vehicle 2. Vehicle 1 spun clockwise and came to rest facing northwest on the east side of the intersection. Vehicle 2 spun clockwise, 230 degrees, departing the roadway left. V2 then tripped over, right side leading 4 quarter turns, coming to rest off roadway facing southeast.",0,20.3744460339419,12,5
18215,2020,52,107,1-52-2020-107-03,3,6,5,09:57,2,3,3,9,2,1,3,2,2,1,"Vehicle 1 is traveling on a two lane two way non-physically divided roadway. V2 is traveling behind vehicle 1 on the same roadway, V3 is traveling behind V2. The front of V3 contacted the rear of V2. The front of V2 contacted the rear of V1. All vehicles came to rest at impact.",0,34.6917831019914,12,5
18218,2020,24,94,1-24-2020-094-04,4,7,5,10:30,1,2,0,0,0,0,0,2,2,9,"V1 was traveling eastbound on a two lane two-way roadway approaching an intersection. V2 was traveling directly behind V1.  V1 began backing from a stop sign, and the rear plane of V1 contacted the front plane of V2.  Both vehicles came to final rest at point of impact.",0,165.554338071133,1,5
18219,2020,24,95,1-24-2020-095-04,4,6,2,13:28,1,2,0,0,0,0,0,2,2,1,"V1 and V2 were traveling westbound on a divided, two-lane roadway; V1 was towing a boat. The front of V2 contacted the rear of the trailer. Both vehicles came to final rest at point of impact.",0,165.554338071133,1,5
18220,2020,24,96,1-24-2020-096-07,7,6,3,21:46,1,1,0,0,0,0,0,2,2,0,V1 was traveling eastbound on a two-lane roadway. The front of V1 struck a deer in the roadway. V1 came to final rest in the roadway facing eastbound.,0,231.957354879625,1,5
18246,2020,19,96,1-19-2020-096-03,3,7,3,05:09,1,2,1,1,1,0,0,9,9,1,"V1 was traveling southeast on a one-way interstate on-ramp, negotiating a right curve. V2 was stopped on the on-ramp in the roadway. The front plane of V1 contacted the rear plane of V2. V2 traveled off the roadway and came to final rest in the median off the left of the lane. V1 came to final rest on the roadway.",0,64.5814083383092,9,5
18247,2020,19,97,1-19-2020-097-08,8,7,1,13:20,3,1,2,4,1,0,3,2,2,0,V1 was traveling east in lane two on a divided two-lane roadway. V1 departed the left road edge into the median. V1's front plane contacted a cable traffic barrier then a guardrail end causing the guardrail to bend and fold. V1 rotated counter-clockwise and the folded guardrail contacted and intruded into the right side of V1. V1 came to rest partially in the median facing northwest.,0,52.5663000327448,9,5
17924,2020,10,87,1-10-2020-087-08,8,6,1,18:00,3,1,4,21,2,1,3,9,1,0,"V1 was westbound in the first lane on a two-lane, non-physically divided roadway. V1 departed the southwest corner of the roadway. The right rear side of V1 impacted a tree. (Event 1) The force of the impact caused V1 to rotate clockwise. V1 then continued to travel south through the wooded area. The right side of V1 impacted a second tree. (Event 2) The force of the impact caused V1 to rotate clockwise. V1 then continued traveling through the wooded area and down an embankment, where the front of V1 impacted a tree. (Event 3) V1 came to rest against the tree, facing southwest.",0,87.9661847100439,4,5
18064,2020,31,42,1-31-2020-042-10,10,6,7,16:12,2,1,99,99,0,0,9,2,2,0,"V1 was southbound on a two lane, two way, undivided roadway negotiating a left hand curve. V1 swerved to miss a deer and departed the right side of the roadway impacting a concrete barrier with the front plane causing damage. V1 continued southeast over the barrier impacting the undercarriage and coming to final rest on the roadway facing east.",0,3310.67454262276,6,5
18063,2020,31,41,1-31-2020-041-07,7,6,4,17:12,1,2,99,99,0,0,9,2,2,4,"V1 was westbound on a two lane, two way, undivided roadway stopped at a four leg intersection. V2 was southbound on a two lane, two way, roadway approaching the same intersection. As V1 proceeded through the intersection the front of V2 struck the right side of V1 causing damage. Upon impact V1 continued westbound coming to final rest facing west on the north side of the road, and sent V2 in a clockwise yaw coming to final rest on the southwest side of the intersection facing southwest.",0,619.866389499539,6,5
18062,2020,76,47,1-76-2020-047-03,3,6,1,09:38,3,1,2,5,1,0,4,9,9,0,"V1 was traveling east on a two way, two lane, undivided roadway negotiating a right hand curve in the roadway.  V1 departed the right hand (South) side of the roadway.  V1 continued driving off of the roadway driving up an embankment and contacting a wire fence with its frontal plane.  V1 immediately after contacting the wire fence contacted a tree with its frontal plane.  V1 began to rotate in a clockwise direction contacting a fence with its left plane.  V1 came to final rest off of the roadway facing a southern direction.",0,15.8345460521654,3,5
18061,2020,76,46,1-76-2020-046-09,9,6,2,20:25,3,1,1,1,1,0,4,9,9,0,"V1 was traveling northwest on a two way, two lane, undivided roadway.  V1 departed the right hand (East) side of the roadway contacting a cable barrier guardrail with its frontal plane.  V1 continued off of the roadway down an embankment contacting two trees with its frontal plane.  V1 came to final rest off of the roadway.",0,70.8650774447511,3,5
18058,2020,13,63,1-13-2020-063-07,7,6,2,06:50,2,2,99,99,0,0,0,9,9,5,"V1 was traveling south in the first lane of a two lane, divided, roadway. V2 was traveling south in the second lane of the same roadway. The driver of V2 lost directional control of the vehicle. V2 departed its lane on the right side and the right side of V2 contacted the left side of V1. After the initial impact, Vehicle 1 rotated counterclockwise, departed the roadway on the right side and came to rest on the shoulder facing northeast. After the initial impact, Vehicle 2 rotated clockwise, departed the roadway on the right side and the back of V2 contacted the concrete embankment. V2 came to rest on the shoulder facing northeast.",0,7657.1337729495,7,5
18056,2020,25,60,1-25-2020-060-01,1,6,3,16:20,2,1,3,14,1,1,1,9,9,0,"V1 was traveling north following a two way, two-lane road with a curve to the left. As V1 was negotiating the curve, it departed the roadway to the right. V1 impacted a tree with its frontal plane before it rolled a total of 2 quarter turns, coming to final rest on its roof off the roadway.",0,36.2903642992438,2,5
17852,2020,13,55,1-13-2020-055-04,4,6,1,17:08,1,2,0,0,0,0,0,2,2,1,"V1 was headed east on an eight lane, two way median divided roadway in the first lane. V2 was stopped ahead of V1 in the first lane. The front of V1 contacted the back of V2. Both vehicles came to final rest in the roadway.",0,2472.86242790989,7,5
17851,2020,59,28,1-59-2020-028-08,8,6,5,12:00,1,2,0,0,0,0,4,2,9,4,"V1 was traveling northerly in lane four (left turn lane) of a divided, seven (7) lane roadway.  The driver of V1 initiated a left turn with the intention of entering a parking lot, entrance exit driveway. V2 was traveling southerly in lane 1 of the divided seven-lane roadway. The front of V2 impacted the right side plane of V1 as both vehicles came to rest within the front of the driveway intersection.",0,161.728046584485,6,5
18311,2020,52,113,1-52-2020-113-03,3,7,6,12:52,1,2,1,2,2,0,4,2,2,4,Vehicle 1 was traveling south on a 5 lane non-physically divided roadway.  Vehicle 1 was in lane 2; a left hand turn only lane attempting to make a left turn between stopped traffic.  Vehicle 2 was traveling north in lane 1 of a two lane non-physically divided roadway.  Vehicle 2 was traveling around stopped traffic when the front of Vehicle 2 made contact with the front of Vehicle 1.  The two vehicles came to rest just after impact.,0,23.3838056116946,12,5
18170,2020,33,61,1-33-2020-061-03,3,6,4,14:00,3,2,1,1,1,0,8,2,1,6,"Vehicle #1 was traveling north in lane one of a four-lane, two-way road, with a two-way left turn lane. Vehicle #2 was traveling south on the same road in lane 1. V1 entered a right curve, and departed its lane to the left. V2 steered right and departed the road to the right. The front plane of V1 contacted the left plane of V2. V1 departed the road to the left and the front plane of V1 contacted a signpost. V2 rotated counter-clockwise and continued off-road. The right plane of V2 contacted a sign post. Both vehicles came to rest off-road.",0,41.3979960630342,12,5
18171,2020,15,60,1-15-2020-060-03,3,6,4,10:59,1,2,2,9,3,0,3,9,1,4,V1 was headed westbound on a divided roadway in lane three of three lanes of travel which is a left turn lane at the intersection. V2 was headed southbound approaching the intersection in lane one of two lanes of travel when V2's front plane came into contact with V1's right side. Both vehicles came to final rest in the roadway.,0,33.8359370292136,1,5
18556,2020,77,70,1-77-2020-070-09,9,8,7,21:50,3,1,0,0,0,0,0,2,2,0,"V#1 was traveling east, negotiating a curve left, in lane 1 of a 2 lane, two way roadway. V#1 departed the roadway to the left, entered a drainage ditch area, and contacted an embankment with it's front plane. The impact caused the vehicle to rotate in a counter clockwise direction where it's front plane contacted the embankment a second time. The rear of V#1 then elevated vertically into the air and continued to rotate counter clockwise as it re-entered the roadway. The vehicle then traveled backwards, departed the roadway to the left a second time, and began to rotate in a clockwise direction. The vehicle then rolled over one quarter turn onto its right side plane against an embankment, and came to final rest approximately 9 meters from the initial contact point, facing west.",0,1742.5059036497,9,5
18557,2020,77,71,1-77-2020-071-04,4,8,3,08:48,1,2,0,0,0,0,0,2,2,4,"V#1 was traveling west in lane 1 of a 4 lane, two way roadway, and was turning right to travel north in lane 1 of a 2 lane, two way roadway. V#2 was traveling north in lane 1 of the 2 lane, two way roadway when it's right side plane contacted V#1's left side plane, at the intersection of the roadways. Both vehicles came to final rest in the roadway, approximately 3 meters from the POI.",0,930.858120361197,9,5
18558,2020,10,113,1-10-2020-113-07,7,8,7,18:33,1,2,9,97,1,0,8,2,2,1,"V1 and V2 were southbound in the third lane on a three-lane, physically divided roadway.  The front of V1 impacted the rear of V2 when traffic came to a stop. The force of the impact caused V2 to travel forward, coming to final rest in its original lane, facing south. V1 came to final rest in its original lane, facing south.",0,733.6481793804,4,5
18559,2020,10,114,1-10-2020-114-08,8,8,1,22:37,4,1,4,24,1,1,3,2,1,0,"V1 was traveling northeast in the second lane, on a four-lane, non-physically divided roadway. V1 departed its lane to the left, and crossed two lanes on the opposite side, then departed the roadway to the left, the right front wheel contacted a curb (Event 1), V1 contacted a utility pole with the right side (Event 2), V1 then started a clockwise yaw, contacting a fence (Event 3), V1 continued and contacted a tree with the left side (Event 4), during the sequence of events, the driver was ejected from the vehicle. V1 came to rest facing Northwest.",0,101.900741840594,4,5
18560,2020,10,115,1-10-2020-115-08,8,8,7,19:15,2,3,1,1,1,0,4,2,2,1,"V1, V2 and V3 were traveling north in the third lane, on a one-way, physically divided roadway. V2 and V3 came to a stop and the front of V1 impacted with the rear of V2 (event 1), the impact forced V2 forward and the front of V2 impacted with the rear of V3 (event 2). V1 came to final rest in original lane facing north. V2 came to final rest in fourth lane facing northwest and V3 came to final rest in original lane facing north.",0,101.900741828771,4,5
18561,2020,10,116,1-10-2020-116-03,3,8,4,18:03,1,2,9,97,1,0,5,2,2,1,"V1 was traveling Northeast in lane one of a two-lane, two-way non-divided roadway. V2 was stopped on the same roadway in the same lane waiting to make a left turn in a four-legged intersection. In the intersection the front of V1 contacted the rear of V2. Both vehicle came to rest in the intersection facing Northeast.",0,151.616180101372,4,5
18563,2020,14,56,1-14-2020-056-02,2,7,2,10:57,3,4,1,1,1,0,4,2,2,1,"V1, V2, V3 and V4 were all traveling the same direction, westbound in lane 3 of a 3-lane highway. V1, V2 and V3 stopped for traffic. V1's front contacted V2's rear. V2's front contacted V3's rear. V3's front contacted V4's rear. All vehicles came to rest on the roadway.",0,185.969882760661,8,5
18251,2020,19,99,1-19-2020-099-09,9,7,1,17:20,1,1,0,0,0,0,3,2,1,0,"V1 was traveling southeast in lane one of a three-lane undivided roadway. V1 departed its travel lane to the right onto the shoulder, then departed the roadway to the right. V1's front plane contacted a ditch. V1 came to final rest off the roadway.",0,360.759698128721,9,5
18252,2020,18,46,1-18-2020-046-02,2,7,1,17:27,2,1,2,9,1,0,3,2,1,0,"Vehicle #1 was traveling northeast in lane 3 of a divided trafficway without physical barrier.  V1 departed the road to the left and the front of V1 contacted a sign post.  V1 traveled down a ditch and the front of V1 contacted the ditch.  V1 came to rest off the road to the north, facing northeast.",0,42.4991659387168,6,5
18253,2020,18,47,1-18-2020-047-08,8,7,5,19:37,1,1,2,5,2,0,4,2,2,0,"Vehicle #1 was traveling south in lane 2 of a divided trafficway without positive barrier.  V1 lost control and departed the road to the left.  V1 rolled six quarter-turns to the right.  V1 came to rest off the road to the east, facing northeast.",0,260.925785453875,6,5
18254,2020,29,98,1-29-2020-098-10,10,7,2,12:10,4,1,0,0,0,0,4,2,2,0,V1 was traveling southbound in the first lane of a two lane two-way roadway in the southbound lane. Traffic stopped short ahead and V1 departed the roadway to the right to avoid a collision. V1 continued off the roadway a short distance and the right side plane of V1 contacted a tree (Event 1). Brush and tree branches lying on the ground then impacted the lower front area of V1 (Event 2). V1 rotated slightly clockwise into a tree stump contacting the left side (Event 3). V1 continued forward striking another tree with the right side plane (Event 4) and came to final rest there off the roadway facing south.,0,204.014509262873,2,5
18255,2020,29,99,1-29-2020-099-04,4,7,1,16:15,1,2,0,0,0,0,0,9,9,4,"V1 was traveling westbound in the first lane of a two lane, two-way roadway approaching an intersection. V2 was traveling southbound in the first lane of a two lane, two-way roadway approaching the intersection. The right side plane of V1 was impacted by the frontal plane of V2 as both vehicles entered the intersection at the same time. Both V1 and V2 came to final rest in the roadway. V1 was at final rest facing west and V2 was at final rest facing south.",0,30.3796836048955,2,5
18256,2020,29,100,1-29-2020-100-06,6,7,2,18:59,1,2,9,97,2,0,8,9,9,4,V1 was traveling westbound in a single lane roadway approaching an intersection. V2 was traveling southbound in a single lane roadway approaching the same intersection. V1 and V2 entered the intersection at the same time. The frontal plane of V1 contacted the left side plane of V2. V1 came to final rest in the roadway facing west. V2 rotated counterclockwise to final rest in the roadway facing east.,0,15.9283113200266,2,5
18257,2020,29,101,1-29-2020-101-04,4,7,4,08:04,1,2,2,4,2,0,4,2,2,4,"V1 was traveling east in the single lane roadway approaching a sign controlled intersection. V2 was traveling north in the first lane of a two lane, two-way roadway approaching the intersection. V1 and V2 entered the intersection at the same time. The right side plane of V1 was impacted by the frontal plane of V2. Both vehicles came to final rest in the roadway: V1 was facing east and V2 was facing north.",0,30.3796836048955,2,5
18259,2020,15,61,1-15-2020-061-01,1,7,5,14:30,1,1,3,10,1,1,1,9,9,0,"V1 was traveling northbound in lane No.1 of an undivided, five-lane roadway. Vehicle 1 departed the right side of the roadway and impacted a tree with its frontal plane. V1  rotated clockwise coming to rest facing northeast and came to final rest straddling the east curb edge of the roadway.",0,17.3601016794599,1,5
18277,2020,30,79,1-30-2020-079-07,7,7,5,16:23,2,1,0,0,0,0,0,2,2,0,Vehicle 1 was traveling eastbound in the number two lane on a two-way freeway with a median. Vehicle 1 lost control of the vehicle trying to avoid an impact with shrubs on the roadway. V1 departed the road on the right and the right plane made contact with a jersey barrier.,0,1515.99083982094,10,5
18278,2020,30,80,1-30-2020-080-04,4,7,7,17:40,3,3,0,0,0,0,0,9,9,2,Vehicle 1 was approaching an intersection in the number 3 lane on a two-way not physically divided roadway. Vehicle 2 was stopped in the number 3 lane at the intersection. Vehicle 3 was also stopped in the number 2 lane at the intersection. Vehicle 1's front end and Vehicle 2's front end made contact with each other. Vehicle 1's unknown plane and Vehicle 3's left side made contact. Then Vehicle 1's unknown plane and Vehicle 3's left side made contact with each other again. All vehicles final rest were on the north side of the intersection.,0,905.141822613082,10,5
18279,2020,30,81,1-30-2020-081-03,3,7,1,14:45,2,2,0,0,0,0,4,1,2,1,"V1 was traveling westbound in lane 1 of a 7 lane undivided roadway attempting to change lanes left.  V2 was westbound, stopped in lane 2 of the same roadway. The front of V1 contacted the back of V2.  V2 was pushed forward where the front contacted an unknown object and came to rest in the roadway.  V1 left scene.",0,252.112024120197,10,5
17822,2020,11,37,1-11-2020-037-02,2,5,7,21:05,4,1,3,10,1,1,3,1,2,0,"Vehicle #1 was traveling westbound on a two lane undivided roadway. Vehicle #1 initially departed the roadway to the right, contacting a log laying on the ground with its right side plane.  Vehicle #1 continued west and reentered an intersecting two lane undivided roadway. Vehicle #1 traveled across this roadway and departed this roadway. Vehicle #1 then contacted a sign post with its frontal plane. Vehicle #1 continued and contacting a ditch with its undercarriage. Vehicle #1 continued traveling west and contacted a tree with its frontal plane. Vehicle #1 came to rest off the roadway.",0,77.1543052356597,8,5
18540,2020,30,93,1-30-2020-093-04,4,7,6,08:05,1,2,0,0,0,0,0,2,2,4,"V1 was traveling eastbound on a 2-lane, 2-way, undivided roadway, attempting to turn left at an intersection.  V2 was traveling southbound in lane 2 of a 7 lane, 2-way left turn lane divided roadway, attempting to crossover the same intersection.  The front of V1 contacted the right side of V2.  Both vehicles came to rest within the intersection.",0,686.244001364634,10,5
18541,2020,30,94,1-30-2020-094-06,6,7,4,18:28,1,2,9,97,1,0,9,2,2,4,Vehicle 1 was stopped at a light facing west at the intersection in the number 3 lane. Vehicle 2 was traveling north in the number 3 lane passing through the same intersection. Vehicle 1 left side and Vehicle 2 front made contact with each other in the intersection. Final rest was near the northern part of the intersection.,0,316.815820332588,10,5
18543,2020,21,98,1-21-2020-098-05,5,7,6,07:34,1,2,3,10,1,1,3,2,2,1,"V1 was traveling south on a divided trafficway (median strip with positive barrier) in lane 2 (of four lanes) and was approaching V1, which was traveling in the same direction, ahead in lane 1. V1 departed its lane to the right and its front end contacted the back end of V2. V1 came rest on its wheels facing a northwesterly direction on the right hand shoulder. V2 was driven to the same shoulder and parked.",0,22.195638809325,11,5
18545,2020,22,79,1-22-2020-079-03,3,7,6,09:44,2,2,1,1,2,0,4,2,2,0,"A non - contact vehicle, was eastbound on a two lane, two way roadway towing an utility trailer.  Vehicle 1 was westbound on the same roadway.  Vehicle 2 was eastbound on the same roadway, towing a recreational trailer, following the non-contact vehicle.  The non-contact vehicle utility trailer lost a left side wheel.  The wheel crossed the center line striking Vehicle 1's front plane.  The tire was re-directed into the eastbound lane striking Vehicle 2's front plane.  Vehicle 2 pulled to the eastbound shoulder.  Vehicle 1 pulled to the westbound shoulder.",0,29.7873290476109,12,5
18546,2020,54,25,1-54-2020-025-10,10,7,3,16:12,1,2,99,99,0,0,9,2,2,4,"V1 was traveling southbound, on a median divided roadway, with two lanes in the same direction, approaching an intersection. V2 was traveling eastbound on a two way, two lane undivided roadway, approaching the same intersection as V2, with a stop sign. V2 entered the two lane roadway that V1 was traveling on and the frontal plane of V1 made contact with the left front side plane of V2. Both V1 and V2 came to a final rest on the east side of the roadway.",0,686.250558115021,9,5
18587,2020,59,42,1-59-2020-042-07,7,8,6,19:12,1,1,0,0,0,0,4,2,2,0,"V1 was traveling southbound on a 2 lane, two way, undivided roadway. While attempting to pass a non collision vehicle on the left side, V1 realized that the non collision vehicle was attempting to make a left turn onto an intersecting roadway. V1 avoided a collision with the other vehicle but, departed the left side of the roadway.  The right side front tire caught on the ground causing the vehicle to roll over four quarter turns and come to rest in a field.",0,416.415452386072,6,5
18588,2020,32,111,1-32-2020-111-04,4,7,7,06:54,1,1,0,0,0,0,0,2,2,0,V1 was traveling northbound on a divided 3 lane roadway in lane 3. V1 departed the roadway to the left onto the raised median. The front of V1 impacted a water main. V1 rotated counter clockwise and came to rest against the struck water main.,0,2304.19999610806,7,5
18589,2020,32,112,1-32-2020-112-02,2,7,5,18:37,2,1,4,34,1,1,3,9,1,0,V1 was traveling east in lane 1 on a three-lane divided straight roadway. V1 departed the roadway to the right and the front of V1 impacted a non-breakaway metal power pole. V1 rotated counter clockwise around the pole and contacted shrubbery with its right side then came to rest on the south side of the roadway facing north.,0,33.3624803189445,7,5
18310,2020,52,112,1-52-2020-112-09,9,7,1,07:10,1,2,1,2,1,0,4,1,2,1,"V1 was traveling east on a 5 lane two-way road way in lane 1. V2 was also traveling in the same direction in front of V1. V1's front contacted V2's rear. V2 was pushed through the intersection and came to rest facing east, in lanes 1 and 2. V1 came to rest just after impact.",0,147.543033030163,12,5
18309,2020,52,111,1-52-2020-111-09,9,7,1,09:51,3,2,0,0,0,0,4,2,2,4,"V1 was traveling North on a 2 lane two-way roadway entering an intersection. V2 was traveling East on a 7 lane two-way road. Both vehicles entered the intersection. The front of V1 contacted the right passenger side of V2, V2 then rolled on to its left side continuing to travel North and then rotated back onto its wheels coming to rest on the median. V1 came to rest still facing North just after impact.",0,147.543033030163,12,5
18059,2020,13,64,1-13-2020-064-05,5,6,6,01:50,1,2,2,9,1,0,3,2,2,4,"Vehicle 2 was traveling north, on a tow way, four lane, undivided roadway, approaching an intersection and Vehicle 1 was traveling south, on a two way, six lane, median divided roadway, approaching the same intersection as V2. V2 entered the intersection going straight; V1 entered the intersection turning left. Within the intersection, the front of V1 contacted the left side of V2. V2 came to rest off the right side of the roadway, facing North.",0,170.589593037072,7,5
